Artist,Venue,City,Country,Tour / Festival,Guests,Setlist?,Date,URL
A Tribe Called Quest,Queen Elizabeth Olympic Park,London,UK,Wireless Festival 2013,,No,2013/07/14,
A Tribe Called Quest,Governor's Island,New York City,USA,Rock the Bells 2010,"Busta Rhymes, Spliff Starr, Swizz Beats",No,2010/08/28,
A Tribe Called Quest,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,"Q-Tip, Mos Def",No,2008/07/20,
A Tribe Called Red,Oslo,London,UK,,,No,2018/01/25,
A$AP Rocky,Queen Elizabeth Olympic Park,London,UK,Wireless Festival 2013,,Yes,2013/07/14,http://www.setlist.fm/setlist/outkast/2014/finsbury-park-london-england-23c1ec8b.html
Action Bronson,Victoria Park,London,UK,Lovebox Festival 2015,Mayhem Lauren,Yes,2015/07/17,http://www.setlist.fm/setlist/action-bronson/2015/victoria-park-london-england-5bf637c8.html
After School,City Hall Plaza,Seoul,South Korea,FIFA World Cup 2010,,No,2010/06/22,
Amadou & Mariam,Rough Trade East,London,UK,La Confusion,,Yes,2017/09/13,https://www.setlist.fm/setlist/amadou-and-mariam/2017/rough-trade-east-london-england-2be22c1a.html
Amadou & Mariam,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/03,
Amadou & Mariam and The Blind Boys of Alabama,Barbican Center,London,UK,Bamako to Birmingham,,No,2019/07/13,
Arcade Fire,Hyde Park,London,UK,British Summer Time 2014,,Yes,2014/07/03,http://www.setlist.fm/setlist/arcade-fire/2014/hyde-park-london-england-3bc18058.html
Arcade Fire,The SSE Arena,London,UK,Everything Now,"Jarvis Cocker, Preservation Hall Jazz Band",Yes,2018/04/12,https://www.setlist.fm/setlist/arcade-fire/2018/the-sse-arena-wembley-london-england-53ec87cd.html
Arctic Monkeys,Bell Centre,Montreal,Canada,El Camino (The Black Keys),,Yes,2012/03/13,http://www.setlist.fm/setlist/arctic-monkeys/2012/centre-bell-montreal-qc-canada-73deced1.html
Arkells,Ivor Wynne Stadium ,Hamilton,Canada,Vanier Cup 2008,,No,2008/11/22,
Arkells,Trafalgar Square,London,UK,Canada Day 2013,,No,2013/07/01,
Arkells,The Islington,London,UK,High Noon,,Yes,2014/08/20,http://www.setlist.fm/setlist/arkells/2014/the-islington-london-england-5bf3ffc8.html
Arkells,The Wave,London,Canada,Michigan Left,,No,2011/10/15,
Arkells,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/arkells/2012/parc-jean-drapeau-montreal-qc-canada-5bdc1bb8.html
Astropolis 2010,Manoir de Kéroual,Brest,France,Astropolis 2010,,No,2010/07/30-31,
AWOLNATION,London Music Hall,London,Canada,Megalithic Symphony,,Yes,2011/12/16,
Axwell,Koolhaus,Toronto,Canada,,,No,2012/04/27,
B-Real,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Bachman-Turner Overdirve,Commonwealth Stadium ,Edmonton,Canada,Grey Cup 2010,,No,2010/11/28,
BADBADNOTGOOD,Roundhouse,London,UK,IV,,No,2017/11/14,
BADBADNOTGOOD & Ghostface Killah,Electric Ballroom,London,UK,Sour Soul,,No,2015/05/15,
Beirut,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/31,http://www.setlist.fm/setlist/beirut/2011/parc-jean-drapeau-montreal-qc-canada-bd1198e.html
Benny Benassi,Guvernment,Toronto,Canada,,,No,2011/02/12,
Billy Joel,Hammersmith Apollo,London,UK,,,Yes,2013/11/05,http://www.setlist.fm/setlist/billy-joel/2013/eventim-apollo-london-england-bc4ad9a.html
Black Honey,Sebright Arms,London,UK,,,Yes,2015/10/20,http://www.setlist.fm/setlist/black-honey/2015/the-sebright-arms-london-england-63f5aa2b.html
Black Lips,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/black-lips/2012/parc-jean-drapeau-montreal-qc-canada-bdc15ca.html
Black Star,Troxy,London,UK,,,Yes,2017/10/20,https://www.setlist.fm/setlist/black-star/2017/troxy-london-england-13e329e9.html
Blitzen Trapper,The Lexington,London,UK,All Across This Land,,Yes,2016/02/08,http://www.setlist.fm/setlist/blitzen-trapper/2016/the-lexington-london-england-63f332eb.html
Blue Rodeo,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,Yes,2007/07/12,http://www.setlist.fm/setlist/blue-rodeo/2007/le-breton-festival-park-ottawa-on-canada-2bd9d0a2.html
Bob Dylan,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,Yes,2007/07/05,http://www.setlist.fm/setlist/bob-dylan/2007/le-breton-festival-park-ottawa-on-canada-4bd73f1e.html
Bon Iver,Hog's Back Park,Ottawa,Canada,Ottawa Folkfest 2012,,Yes,2012/09/10,http://www.setlist.fm/setlist/bon-iver/2012/hogs-back-park-ottawa-on-canada-23ddb0ab.html
Boot Camp Clik,Ritual Night Club,Ottawa,Canada,,,No,2011/09/27,
Born Ruffians,Call the Office,London,Canada,Say It,,No,2011/03/29,
